mo,hr,lo_frac,mi_frac,hi_frac
6,19,0.01551273677335075,0.3013553233180927,0.9483180927498367
6,20,0.012822606991179352,0.34204508330610917,0.9456060111074812
6,21,0.029102412020561484,0.33625939106366154,0.9463028865164096
6,22,0.02500192322486345,0.327102084775752,0.9413801061620125
6,23,0.03106030744974379,0.3117855735120221,0.9554592037839968
7,0,0.03359568576009328,0.444978866054511,0.9532138172278094
7,1,0.04442690016507572,0.4670207421230173,0.9548553793152946
7,2,0.035493160547156226,0.42541396688264943,0.9680345572354212
7,3,0.016800057682601482,0.38986228278895374,0.9747638618501694
7,4,0.0123108117894127,0.4158881888623362,0.9724817148236657
7,5,0.0224370536036361,0.4066806146742659,0.9903325878363755
7,6,0.021203683872349537,0.37466980795316623,0.9771542800028555
7,7,0.015813625132368513,0.3653370984821744,0.9789622308506883
7,8,0.01039751025604753,0.3188569811854576,0.9823878907907766
7,9,0.013233316821173307,0.32736536692378454,0.9814592031703347
7,10,0.07520910943979757,0.3266324594081676,0.956139734308006
7,11,0.13030238651653564,0.34317682883648465,0.956872742723603
7,12,0.13167843640773239,0.36065339895855625,0.9590555674441829
7,13,0.10690423162583519,0.40268697463898273,0.9590487822401035
7,14,0.0976056338028169,0.44253521126760564,0.9395774647887324
7,15,0.07540536662361888,0.4095996556177357,0.9468359879466207
7,16,0.06703617706538836,0.45599580555763614,0.943300127331286
7,17,0.039687404229236896,0.4174072939013178,0.9774747165185412
7,18,0.020621572212065814,0.4394149908592322,0.9496892138939671
7,19,0.02593702053043034,0.44823555198363413,0.9479067728501498
7,20,0.033625193142520785,0.5017290854241777,0.9267897873592819
7,21,0.01753237305397934,0.5109122653862942,0.9361996217081333
7,22,0.02635794378913645,0.4542740643658075,0.9587155963302753
7,23,0.04232995658465992,0.4478292329956585,0.9626628075253256
8,0,0.0666714926885768,0.37252063124366586,0.9556971188649196
8,1,0.06316474929455176,0.34715288329353877,0.9599160697489327
8,2,0.04401030485186776,0.32310004293688277,0.9752397309288678
8,3,0.046983220278471974,0.3053195287397358,0.9788646911817207
8,4,0.03392674740989348,0.30351670801109004,0.9818327739676054
8,5,0.03736787256215572,0.27288968289414917,1.0126544588357898
8,6,0.02605886575735822,0.2656137832017229,0.9821966977745872
8,7,0.0326214160327677,0.2588502047981276,0.9825190169689878
8,8,0.030945997702029875,0.2724626579854462,0.979165070854079
8,9,0.03029394121175765,0.262747450509898,0.9761547690461908
8,10,0.061324673363039046,0.23835057775092514,0.9681292953704403
8,11,0.09581064730792499,0.2251209921355112,0.957047791893527
8,12,0.13677834853944645,0.2550793529096067,0.9478647550410183
8,13,0.15294295886675252,0.244375426104083,0.9331868797818348
8,14,0.1613634645907339,0.29204141788224625,0.9226815811352128
8,15,0.14332770948823012,0.2938860769663373,0.9155619828071021
8,16,0.11234751071546324,0.304648862512364,0.9238377843719091
8,17,0.06364899093063157,0.29781844921970746,0.9629871721545876
8,18,0.039637058261700095,0.2860553963705826,0.9607609041706462
8,19,0.041352506801399146,0.31333074232413527,0.9546832491255344
8,20,0.04256321658551908,0.29974870425632166,0.9480917229464426
8,21,0.05715393563396666,0.3413726250484684,0.9454051958123305
8,22,0.06441417713898713,0.338776431635187,0.9408533373466778
8,23,0.11692397746396431,0.3471866539840492,0.9536840564864272
9,0,0.08306250472375483,0.4006499886629885,0.9232862217519462
9,1,0.05861855350782097,0.35767384234164473,0.9540808424965154
9,2,0.07729357798165137,0.33035168195718656,0.9565749235474005
9,3,0.04530496671003291,0.3252468049284457,0.9601285681487718
9,4,0.040377388662349085,0.29087710881906137,0.9614615815143521
9,5,0.03375890968904206,0.2728910472311428,0.9891125558079424
9,6,0.037177830152816845,0.24040142933171138,0.975975062723333
9,7,0.025961839224272757,0.24116359086643727,0.9781044729433845
9,8,0.052827204428627914,0.2258600237247924,0.9546065638592329
9,9,0.03849532784921333,0.19271623672230653,0.974922130820222
9,10,0.04356930015301602,0.1572843682048804,0.9788193605540791
9,11,0.09179858404263781,0.17333545461777106,0.9657147402752366
9,12,0.15292259083728277,0.21729857819905213,0.9467614533965244
9,13,0.15325515568135867,0.2408410837040032,0.9422563687828548
9,14,0.1574346405228758,0.24697712418300655,0.9334967320261438
9,15,0.11195734958111196,0.28585935516628586,0.9321316747059322
9,16,0.11092091749400891,0.31684354673057175,0.9159534406025334
9,17,0.054288439857774685,0.29676524152285144,0.9453646691527188
9,18,0.024901927340951733,0.3303769401330377,0.9322019443970664
9,19,0.024742610428429093,0.3261374958485553,0.9385586183992028
9,20,0.02610441767068273,0.3427041499330656,0.935073627844712
9,21,0.047889149987845395,0.38748885827728713,0.9154039380925372
9,22,0.039856549026000485,0.4173119243622137,0.93626212405249
9,23,0.04895608351331893,0.4212463002959763,0.9222462203023758
10,0,0.24284834081506912,0.27004665082299095,0.9314320922454009
10,1,0.23682001343183343,0.30238415043653455,0.9255372733378104
10,2,0.29108369898170383,0.28520572895107216,0.9230896597400448
10,3,0.2759171995960956,0.247307303938068,0.9454729047458768
10,4,0.2626012229383573,0.23896876549330687,0.9524871921996365
10,5,0.2223133043692106,0.2519058939257316,0.9336830887777686
10,6,0.22893574464538713,0.27077256438036507,0.9222435202933578
10,7,0.20423298058495126,0.24889592533955504,0.92942254812099
10,8,0.24259854508543396,0.2105396717983421,0.93004567755033
10,9,0.3042301184433164,0.19771573604060913,0.9109137055837563
10,10,0.30133265427383077,0.2324929971988796,0.9100246159069689
10,11,0.3156622488955572,0.27556889222305575,0.8753021588730515
10,12,0.29689760488667416,0.2685259604565183,0.8848255907410385
10,13,0.2876689045636101,0.27611115832412675,0.8866321067391858
10,14,0.2668459082507142,0.27054276592169385,0.8752310536044362
10,15,0.21967691886465274,0.2635757962946062,0.8853700830519303
10,16,0.19149139579349903,0.251434034416826,0.8851816443594646
10,17,0.10738511512372217,0.2000573230151906,0.9260533104041273
10,18,0.11102476930548809,0.25478387566779986,0.9388052452646916
10,19,0.11458144180134375,0.2591247503177774,0.9303613582712911
10,20,0.13517623904097334,0.25693326176417963,0.9214528538200036
10,21,0.16135101236337573,0.26133309442752195,0.9262676939616555
10,22,0.1892086330935252,0.27266187050359714,0.9201438848920864
10,23,0.20012207882804325,0.269183815835368,0.9250087199162889
11,0,0.48702401164200826,0.3543536260004851,0.9088851160158462
11,1,0.4859280950056939,0.3548885635269237,0.9088986497478446
11,2,0.45724050230488,0.34533460499125734,0.9159116197742808
11,3,0.4981368429398239,0.33552683738999445,0.9104098945532386
11,4,0.514681039337141,0.323867749979889,0.8952618453865336
11,5,0.4878987017150184,0.32865843885238016,0.8935726879307581
11,6,0.4073214147511802,0.3674638185898924,0.9064313907592292
11,7,0.403430749682338,0.33330686149936467,0.9198697585768741
11,8,0.42467266130304465,0.31527054740495347,0.8870484303517905
11,9,0.5185997337301277,0.2943848382802099,0.8942751977445376
11,10,0.5456869009584664,0.32579872204472843,0.884185303514377
11,11,0.47500793398920976,0.3550460171374167,0.8638527451602667
11,12,0.44754381634164403,0.34312515428289314,0.883156422282564
11,13,0.47685799601858,0.3393331121433311,0.8719309887193099
11,14,0.4430581142187239,0.3387204823312678,0.8724669234634064
11,15,0.41283366663768367,0.3417963655334319,0.8949656551604209
11,16,0.3836538461538462,0.3213286713286713,0.8962412587412588
11,17,0.31139040253120054,0.33731763051502894,0.9094744243276498
11,18,0.32525807525807526,0.3646353646353646,0.8868631368631368
11,19,0.34257215272667807,0.3384841795437822,0.9028697571743929
11,20,0.3853447558845546,0.3364384928886301,0.9060966480911585
11,21,0.4197271773347324,0.35047219307450156,0.8940996044878521
11,22,0.43173667012034755,0.33960309237267877,0.8735952817406553
11,23,0.44534279349888617,0.35038363171355497,0.889613068228694
12,0,0.4711144643242078,0.2768915714593662,0.7416469066609183
12,1,0.48865277491231696,0.2580977924489375,0.7114710129977306
12,2,0.5320429244809949,0.28031290743155146,0.7029385217129676
12,3,0.5650004988526389,0.26289534071635234,0.6796368352788585
12,4,0.5696408100878869,0.2598395108903324,0.6666985097439817
12,5,0.5500695410292072,0.279256904430757,0.7100139082058415
12,6,0.5376551724137931,0.2844137931034483,0.6808275862068965
12,7,0.49303675048355905,0.2888781431334623,0.6953578336557061
12,8,0.5339669834917459,0.3085542771385693,0.6979489744872437
12,9,0.5674960815047022,0.32552899686520376,0.6856387147335423
12,10,0.5208436478859293,0.29547479948509753,0.7151203089414794
12,11,0.48448805629893943,0.29219942511646346,0.7078996927346615
12,12,0.48049402078023923,0.3133699274652029,0.7075083316996669
12,13,0.4718454582819564,0.30641183723797777,0.7118783394985614
12,14,0.4523133116883117,0.3060064935064935,0.695413961038961
12,15,0.4170827578880272,0.26102199086369915,0.7654307872091788
12,16,0.3442104114373022,0.25057295645530936,0.8017024991814907
12,17,0.3929352203428834,0.34046714992521,0.844091589000115
12,18,0.3516435513814568,0.2874303811291908,0.8049579556623349
12,19,0.3598176489742755,0.2629979376967329,0.8111364376424617
12,20,0.3822089806341775,0.27963396467333473,0.7810172377101511
12,21,0.3763163550397593,0.28089404685149366,0.7901353965183752
12,22,0.4335389196086772,0.2749893662271374,0.755423224159932
12,23,0.45392981736096866,0.2790888569669608,0.7342499486969013
